country,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.96,,3.43,3.38,3.28,3.2,3.82,5.16,7.44,7.84,7.18,6.31,6.87,7.31,7.14,6.36,4.93,3.98,5.91,6.44,5.94,6.12,6.23,5.6,4.64,3.54,2.67,2.03,1.83,2.41
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.68,6.06,6.25,6.31,6.65,6.11,5.5,4.66,5.05,6.16,7.38,8.31,7.65,8.08,8.93,8.93,8.03,7.12,7.2,8.05,9.26,10.2,10.4,9.5,7.98,7,7.29,6.54,5.4,5,4.87,4.69,4.38,3.9,3.53,3.23,2.99,3.63
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.6,,,
Dominica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.03,,,,,,,,,,12.8,,8.48,,,,,,,,,,,,,,,,,,,
Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.04,8.01,7.11,5.71,5.37,6.1,7.47,7.95,8.67,8.46,10.3,7.79,6.16,6.04,4.85,4.58,4.28,4.07,3.47,3.74,4.96,4.7,4.09,3.17,3.12,2.72,5.4,6.68,6.55,6.77,6.5,6.03,5.69,5.31,5.11,4.51,4.51,4.92
Dominican Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.95,6.01,5.56,5.72,4.97,5.23,4.92,3.69,3.59,4.19,4.27,4.77,5.52,5.75,6.03,6.44,5.85,4.92,4.69,5.28,5.43
Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.2,,,,11.3,9.6,10.8,8.57,7.81,7.66,7.73,8.09,7.27,,,,,,,
Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.96,6.45,8.05,,3.44,3.09,,4.16,3.75,3.04,2.56,2.38,2.83,3.91,3.36,2.85,2.53,2.35,2.71,2.95,3.89,3.37,3.13,3.38,6.12
Egypt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2,4.48,,,5.74,,,,4.74,4.44,3.92,5.09,5.22,8.32,8.36,9.14,9.79,8.71,8.14,7.85,7.58,6.09,
Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.41,4.37,5.46,7.23,8.96,10.3,11.6,13.9,15.6,15.2,15,14.9,13.8,13.3,13.3,15.2,19.1,21.1,19.9,19.6,18.3,16.6,13.7,12.3,9.1,9.97,10.1,9.88,7.96,7.47,7.2,10.1,16.3,18.4,19.9,23.3,24.5,22.8,20.6,18.2,15.9,14,12.9,14.5
